Date_dd/mm/yyyy_hours  Time(hours)  Outlet_Discharge(m3/s)
13/01/1980_21:42:04        309.70125018          7.30350700
13/01/1980_22:42:04        310.70125018          7.29805518
13/01/1980_23:42:04        311.70125018          7.29280790
14/01/1980_00:42:04        312.70125018          7.29037022
14/01/1980_01:42:04        313.70125018          7.28917154
14/01/1980_02:42:04        314.70125018          7.28843476
14/01/1980_03:42:04        315.70125018          7.28845687
14/01/1980_04:42:04        316.70125018          7.28927726
14/01/1980_05:42:04        317.70125018          7.29080356
14/01/1980_06:42:04        318.70125018          7.29285051
14/01/1980_07:42:04        319.70125018          7.29639398
14/01/1980_08:42:04        320.70125018          7.30144318
14/01/1980_09:42:04        321.70125018          7.30751063
14/01/1980_10:42:04        322.70125018          7.31475121
14/01/1980_11:42:04        323.70125018          7.32337556
14/01/1980_12:42:04        324.70125018          7.33363714
14/01/1980_13:42:04        325.70125018          7.34567254
14/01/1980_14:42:04        326.70125018          7.35960849
14/01/1980_15:42:04        327.70125018          7.37549543
14/01/1980_16:42:04        328.70125018          7.39345331
14/01/1980_17:42:04        329.70125018          7.41353269
14/01/1980_18:42:04        330.70125018          7.43581605
14/01/1980_19:42:04        331.70125018          7.46027323
14/01/1980_20:42:04        332.70125018          7.48688871
14/01/1980_21:42:04        333.70125018          7.51552688
14/01/1980_22:42:04        334.70125018          7.54607582
14/01/1980_23:42:04        335.70125018          7.57832191
15/01/1980_00:42:04        336.70125018          7.60920599
15/01/1980_01:42:04        337.70125018          7.63934960
15/01/1980_02:42:04        338.70125018          7.66886523
15/01/1980_03:42:04        339.70125018          7.69593097
15/01/1980_04:42:04        340.70125018          7.72056268
15/01/1980_05:42:04        341.70125018          7.74396830
15/01/1980_06:42:04        342.70125018          7.76468576
15/01/1980_07:42:04        343.70125018          7.78273176
15/01/1980_08:42:04        344.70125018          7.79819373
15/01/1980_09:42:04        345.70125018          7.81096838
15/01/1980_10:42:04        346.70125018          7.82085862
15/01/1980_11:42:04        347.70125018          7.82791021
15/01/1980_12:42:04        348.70125018          7.83216471
15/01/1980_13:42:04        349.70125018          7.83381317
15/01/1980_14:42:04        350.70125018          7.83422714
15/01/1980_15:42:04        351.70125018          7.83215053
15/01/1980_16:42:04        352.70125018          7.82801471
15/01/1980_17:42:04        353.70125018          7.82221607
15/01/1980_18:42:04        354.70125018          7.81509366
15/01/1980_19:42:04        355.70125018          7.80690150
15/01/1980_20:42:04        356.70125018          7.79779444
15/01/1980_21:42:04        357.70125018          7.78806140
15/01/1980_22:42:04        358.70125018          7.77791462
15/01/1980_23:42:04        359.70125018          7.76882395
16/01/1980_00:42:04        360.70125018          7.75878136
16/01/1980_01:42:04        361.70125018          7.74787493
16/01/1980_02:42:04        362.70125018          7.73615200
16/01/1980_03:42:04        363.70125018          7.72351026
16/01/1980_04:42:04        364.70125018          7.70994198
16/01/1980_05:42:04        365.70125018          7.69551124
16/01/1980_06:42:04        366.70125018          7.68032254
16/01/1980_07:42:04        367.70125018          7.66449641
16/01/1980_08:42:04        368.70125018          7.64815724
16/01/1980_09:42:04        369.70125018          7.63142284
16/01/1980_10:42:04        370.70125018          7.61440004
16/01/1980_11:42:04        371.70125018          7.59718463
16/01/1980_12:42:04        372.70125018          7.57985886
16/01/1980_13:42:04        373.70125018          7.56249588
16/01/1980_14:42:04        374.70125018          7.54515496
16/01/1980_15:42:04        375.70125018          7.52788623
16/01/1980_16:42:04        376.70125018          7.51073081
16/01/1980_17:42:04        377.70125018          7.49371912
